name,ttl,type,value
"clovers.network","3600","NETLIFY","clovers-no-bots.netlify.app"
"www.clovers.network","3600","NETLIFY","clovers-no-bots.netlify.app"
"api2.clovers.network","3600","A","104.131.181.241"
"clovers.network","3600","TXT","google-site-verification=jlWhV1LxjUnElnLS6D06UVtpYJpAxlaD6UcqO8OwlwA"
"dev.clovers.network","3600","NETLIFY","dev-clovers.netlify.app"
"_github-challenge-clovers-network.clovers.network","3600","TXT","099fa4ac8e"
"mail.clovers.network","3600","TXT","v=spf1 include:eu.mailgun.org ~all"
"mailo._domainkey.mail.clovers.network","3600","TXT","k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxSzX33rCi8b77ef9TLJnhetEDrUlmIR1k9CpwsVrDPo/4ToTf4pvLssC7NhyX7FkWsuNL0uHWbY7tfKNIaXy8tHBzskRbkGjnJrVvi0inwfQtPcChjuyRbpvZbKLm5Ptyyx2D5gMZoQ0SqZB3yPssohGoer92+mKiz0ZXgHdJjzrPKJIKn93+snS+baBheb3moGMlxxao8+dj4dBM8vvmScbMFLpOLElWfdEtGc7RVlrTY1sWXuHf/9IbLruLzv+Wc3m0k7OWlnKCNrNc6rcH6zslsEeBP+59Fpj7jdUWTAzD2ew7pmMx9NnoHqjzYS071doHBOOQqu86/0F+lMV6QIDAQAB"
"mail.clovers.network","3600","MX","mxa.eu.mailgun.org"
"mail.clovers.network","3600","MX","mxb.eu.mailgun.org"
"email.mail.clovers.network","3600","CNAME","eu.mailgun.org"
"clovers.network","3600","TXT","v=spf1 include:eu.mailgun.org ~all"
"pic._domainkey.clovers.network","3600","TXT","k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsdc7BOzwveQJLZTYx8KErcKn18I+3BSFew5VhMDqq6TKRTYnxbfBqswVxEe4AbOavT+o5NPoDwnlN7O+GcKEw87wgtDH1yrSiavqov3rRSGE3QswgP3k/YFiczzHbc03x0RPA4MQKhX4t6anzUKlQGvPstnWgQWuhcCbVTRq9CO0/tg6pwXZuHvB8oROY6ixw2Ve3VrJjGiqv9c/v/cqkQ5GYRqvdNBKbXkPCaTVPxJbQoCXyFGa1RB8qlR94Vpo9kPh+3rg5TAhkr1xVkW9iO5XrI4pjaydBxw2bbdVhDnq+u/B3/naDU6vCcyTQxXuauvVz9oT5gOgY5akv+kK5wIDAQAB"
"clovers.network","3600","MX","mxa.eu.mailgun.org"
"clovers.network","3600","MX","mxb.eu.mailgun.org"
"email.clovers.network","3600","CNAME","eu.mailgun.org"
"api.clovers.network","3600","A","206.81.16.230"
"forum.clovers.network","3600","A","68.183.74.37"
"clovers.network","3600","NETLIFYv6","clovers-no-bots.netlify.app"
"www.clovers.network","3600","NETLIFYv6","clovers-no-bots.netlify.app"
"dev.clovers.network","3600","NETLIFYv6","dev-clovers.netlify.app"
"img.clovers.network","3600","A","165.22.72.114"
"clovers.network","3600","TXT","brave-ledger-verification=3b2366f9e6b50e03b543b4a03c9b7b3353f58b9e99848b57c95512bebf1fab55"
"clovers.network","3600","TXT","fortmatic-site-verification=741LuAEkMxIXBVPE"
"clovers.network","3600","TXT","google-site-verification=8uQyZ1Sa7cM1gu0dEP8KrnHbcKg1CuHoNB01ZwO5K_A"
